Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. corrugator supercilii;;Kopf & Hals;Mimikmuskulatur;Stirn · Augenbraue;Mimik & Kopfmuskulatur;Medial unter der Augenbraue (Os frontale, Glabellabereich);Haut der medialen Augenbraue;"Der M. corrugator supercilii zieht die Augenbraue nach medial und inferior und erzeugt senkrechte Falten an der Glabella (Zornesfalte); er drückt Anspannung und Missbilligung aus und antagonisiert den M. frontalis.";Zieht Augenbraue medial und inferior · erzeugt vertikale Glabellafalten (Zornesfalte);N. facialis (VII);;"Zentrales Zielorgan bei Botulinum-Toxin-Behandlung von Zornesfalten (Glabellafalten); Überaktivität → tiefe vertikale Furchen.";nein;Mimische Muskulatur;2;0;ja;M. corrugator supercilii;corrugator-supercilii
M. nasalis;;Kopf & Hals;Mimikmuskulatur;Nase;Mimik & Kopfmuskulatur;Seitlich an der Nase (Maxilla, lateral des Nasenrückens);Nasenrücken / Nasenknorpelregion;"Pars transversa: Verengt die Nasenöffnung; zieht Nasenrücken nach unten und medial.";Verengt Nasenöffnung (Pars transversa);N. facialis (VII);;Bei vollständiger Fazialisparese ist die aktive Nasenbeweglichkeit eingeschränkt, was bei forcierter Nasenatmung auffällt.;nein;Mimische Muskulatur;3;0;nein;M. nasalis;nasalis-head-mimikmuskulatur-verengt-nasenoffnung-pars-transversa
M. nasalis;;Kopf & Hals;Mimikmuskulatur;Nase;Mimik & Kopfmuskulatur;An den Nasenflügeln (Ala nasi);Nasenflügel (Ala nasi);"Pars alaris: Erweitert die Nasenöffnung durch Aufspreizen der Nasenflügel; aktiv bei forcierter Inspiration.";Erweitert / bläht Nasenloch (Pars alaris);N. facialis (VII);;"Schwäche der Pars alaris → verminderte Nasenflügelerweiterung bei forciertem Einatmen; auffällig bei Fazialisparese.";nein;Mimische Muskulatur;3;0;ja;M. nasalis;nasalis-head-mimikmuskulatur-erweitert-blaht-nasenloch-pars-alaris
M. occipitofrontalis;;Kopf & Hals;Mimikmuskulatur;Stirn · Galea;Mimik & Kopfmuskulatur;Galea aponeurotica (vorderes Blatt);Haut der Stirn und Augenbrauen;"Hebt die Augenbrauen; erzeugt horizontale Querfalten der Stirn; verschiebt Galea nach anterior.";Hebt Augenbrauen · erzeugt Querfalten der Stirn;N. facialis (VII), Rr. temporales;;"Venter frontalis: häufiges Zielorgan bei ästhetischer Botulinum-Toxin-Behandlung von Stirnfalten; Überaktivität kompensatorisch bei Ptosis.";nein;Mimische Muskulatur;2;0;nein;M. occipitofrontalis;occipitofrontalis-head-mimikmuskulatur-hebt-augenbrauen
M. occipitofrontalis;;Kopf & Hals;Mimikmuskulatur;Galea · Kopfhaut;Mimik & Kopfmuskulatur;Linea nuchalis superior (Os occipitale) und Mastoidregion;Galea aponeurotica (hinteres Blatt);"Zieht Galea aponeurotica nach dorsal; Antagonist zum Venter frontalis; ermöglicht gleitende Kopfhautbewegung.";Zieht Kopfhaut nach dorsal · fixiert Galea aponeurotica;N. facialis (VII), R. auricularis posterior;;"Verspannungen des Venter occipitalis können zu okzipitalen Kopfschmerzen beitragen; häufig begleitend bei Nackenverspannungen.";nein;Mimische Muskulatur;3;0;ja;M. occipitofrontalis;occipitofrontalis-head-mimikmuskulatur-zieht-kopfhaut-nach-dorsal
M. orbicularis oculi;;Kopf & Hals;Mimikmuskulatur;Augenlid;Mimik & Kopfmuskulatur;Orbitarand und Tarsalregion (umgibt die Orbita ringförmig);Haut um die Orbita, Tarsalregion und medialer Lidwinkel;Der M. orbicularis oculi schließt das Auge. Die Pars palpebralis sorgt für spontanen Lidschluss, die Pars orbitalis für festes Zusammenkneifen.;Lidschluss (willkürlich und reflektorisch);N. facialis (VII);;Bei peripherer Fazialisparese kommt es zum inkompletten Lidschluss (Lagophthalmus), was zu schwerer Hornhautschädigung (Expositionskeratitis) führen kann.;nein;Mimische Muskulatur;1;0;ja;M. orbicularis oculi;orbicularis-oculi
M. orbicularis oris;;Kopf & Hals;Mimikmuskulatur;Mund;Mimik & Kopfmuskulatur;Haut und Muskulatur der Lippen, Modiolus;Haut und Muskulatur der Lippen (orbitalе und marginale Faserbündel);"Der M. orbicularis oris schließt die Lippen und formt sie für Sprechen, Pusten und Pfeifen; seine oberflächlichen und tiefen Faserbündel wirken zusammen, um Mund und Lippen präzise zu steuern.";Mundschluss · Lippenformung · Pusten · Sprechen;N. facialis (VII), Rr. buccales und marginales mandibulares;;"Bei peripherer Fazialisparese ist der M. orbicularis oris gelähmt; es kommt zu inkomplettem Lippenschluss (Mundsegelphänomen), Speichelfluss und beeinträchtigter Artikulation.";nein;Mimische Muskulatur;1;0;ja;M. orbicularis oris;orbicularis-oris
M. procerus;;Kopf & Hals;Mimikmuskulatur;Nase · Stirn;Mimik & Kopfmuskulatur;Nasenwurzel / Dorsalfläche der Nase (Nasenknorpel und Os nasale);Haut über der Glabella und der unteren Stirn;"Der M. procerus zieht die Haut über der Glabella nach kaudal und erzeugt Querfalten an der Nasenwurzel; er senkt den medialen Augenbrauenanteil und antagonisiert den M. frontalis.";Runzeln über Nasenwurzel · Senken des medialen Augenbrauenanteils;N. facialis (VII);;"Hyperaktivität führt zu queren Falten an der Nasenwurzel; Zielmuskel bei Botulinum-Toxin-Therapie für Zornesfalten.";nein;Mimische Muskulatur;3;0;ja;M. procerus;procerus
M. longus capitis;;Kopf & Hals;Prävertebrale Muskeln;Kopfgelenke;Wirbelsäule;Procc. transversi C3–C6 (Tubercula anteriora);Pars basilaris ossis occipitalis;Der M. longus capitis beugt den Kopf nach vorn (Inklination) und stabilisiert die obere HWS. Er arbeitet synergistisch mit dem M. longus colli und bildet gemeinsam mit ihm die tiefe zervikale Flexorenschicht.;Flexion des Kopfes (Inklination);Rr. ventrales der Spinalnerven C1–C3;C1–C3;"Der M. longus capitis ist bei HWS-Dysfunktionen und nach Schleudertraumata häufig in seiner Funktion beeinträchtigt; Schwäche zeigt sich durch Verlust der tiefen Nackenstabilisation und Vorschub des Kopfes (Forward Head Posture).";nein;;2;0;ja;M. longus capitis;longus-capitis
M. longus colli;;Kopf & Hals;Prävertebrale Muskeln;Halswirbelsäule;Wirbelsäule;"Pars verticalis: Wirbelkörper C5–Th3; Pars obliqua superior: Procc. transversi C3–C5; Pars obliqua inferior: Wirbelkörper Th1–Th3";"Tuberculum anterius atlantis (Pars obliqua superior); Wirbelkörper C2–C4 (Pars verticalis); Procc. transversi C5–C6 (Pars obliqua inferior)";Der M. longus colli beugt die Halswirbelsäule nach ventral (Nickbewegung) und stabilisiert sie segmental. Er ist der wichtigste tiefe Flexor der HWS und trägt durch seine permanente Aktivität zur zervikalen Haltungsstabilisation bei.;Flexion der HWS · Lateralflexion · Rotation ipsilateral;Rr. ventrales der Spinalnerven C2–C6;C2–C6;"Der M. longus colli ist der wichtigste tiefe Stabilisator der Halswirbelsäule; seine Schwäche ist mit chronischem Nackenschmerz, HWS-Instabilität und nach Schleudertrauma mit Schwindel und Sehstörungen assoziiert.";nein;;2;0;ja;M. longus colli;longus-colli
M. digastricus;;Kopf & Hals;Suprahyoidale Muskeln;Kiefergelenk · Zungenbein;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;"Venter anterior: Fossa digastrica (Innenseite der Mandibula); Venter posterior: Incisura mastoidea (Os temporale)";Corpus ossis hyoidei (über Zwischensehne);"Der M. digastricus wirkt mit seinen zwei Bäuchen in entgegengesetzten Situationen: Bei fixiertem Zungenbein öffnet er den Mund; bei fixierter Mandibula hebt er das Zungenbein an, was für den oralen und pharyngealen Schluckakt unerlässlich ist.";Zungenbeinanhebung · Mundöffnung;N. mylohyoideus (Vorderbauch, V3) / N. facialis (Hinterbauch, VII);;"Der M. digastricus ist logopädisch relevant bei Schluckstörungen; Lähmungen oder Verspannungen beeinträchtigen die Zungenbeinanhebung und damit die laryngeale Elevation beim Schlucken.";nein;Suprahyoidale Muskeln;1;0;ja;M. digastricus;digastricus
M. geniohyoideus;;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Spina mentalis (Innenseite des Corpus mandibulae);Corpus ossis hyoidei;"Der M. geniohyoideus zieht das Zungenbein kräftig nach ventral und kranial; damit hebt er den Kehlkopf beim Schlucken an und verkürzt den Abstand zwischen Kinn und Zungenbein. Bei festem Zungenbein wirkt er als Mundöffner.";Zungenbeinanhebung und -vorverlagerung · Mundöffnung;N. hypoglossus (XII) mit Fasern aus C1;C1;"Der M. geniohyoideus ist beim Schluckakt unverzichtbar; er zieht das Zungenbein nach vorn und oben und ermöglicht so die laryngeale Elevation. Schwäche führt zu pharyngealer Dysphagie.";nein;Suprahyoidale Muskeln;2;0;ja;M. geniohyoideus;geniohyoideus
M. mylohyoideus;;Kopf & Hals;Suprahyoidale Muskeln;Kiefergelenk · Zungenbein;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;Linea mylohyoidea (Innenfläche des Corpus mandibulae);"Corpus ossis hyoidei; Raphe mylohyoidea";Der M. mylohyoideus hebt den Mundboden und das Zungenbein an – ein entscheidender Schritt beim Schlucken. Bei festem Zungenbein kann er zudem den Unterkiefer absenken und unterstützt so die Mundöffnung.;Mundbodenhebung · Zungenbeinanhebung · Mundöffnung;N. mylohyoideus (V3, N. trigeminus);;"Der M. mylohyoideus spielt eine zentrale Rolle beim Schluckakt; bei Läsionen des N. mylohyoideus nach Weisheitszahn-OPs oder Frakturen des Unterkiefers kann es zu Schluckstörungen und eingeschränkter Mundbodenhebung kommen.";nein;Suprahyoidale Muskeln;1;0;ja;M. mylohyoideus;mylohyoideus
M. stylohyoideus;;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Proc. styloideus (Os temporale);Corpus ossis hyoidei (Cornu majus);"Der M. stylohyoideus zieht das Zungenbein nach dorsal und kranial; er antagonisiert die ventralen suprahyoidalen Muskeln und ist an der Stabilisierung des Zungenbeins während der Schluck- und Sprechbewegungen beteiligt.";Zungenbeinanhebung und -dorsalverlagerung;N. facialis (VII);;"Der M. stylohyoideus wird vom N. facialis versorgt; bei peripherer Fazialisparese kann seine Lähmung die Zungenbeinanhebung beim Schlucken beeinträchtigen und zur neurogenen Dysphagie beitragen.";nein;Suprahyoidale Muskeln;2;0;ja;M. stylohyoideus;stylohyoideus
