Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. serratus posterior inferior;;Wirbelsäule & Rumpf;Rückenmuskulatur;Rippen;Wirbelsäule;Procc. spinosi Th11–L2, Fascia thoracolumbalis;9.–12. Rippe (lateral der Anguli costae);Senkt die unteren Rippen und unterstützt die forcierte Ausatmung;Rippensenkung (Exspiration);Nn. intercostales;Th9–Th12;Atemhilfsmuskel bei forcierter Ausatmung;nein;;3;0;ja;M. serratus posterior inferior;serratus-posterior-inferior
M. serratus posterior superior;;Wirbelsäule & Rumpf;Rückenmuskulatur;Rippen;Wirbelsäule;Procc. spinosi C6–Th2, Lig. nuchae;2.–5. Rippe (lateral der Anguli costae);Hebt die oberen Rippen und unterstützt die Einatmung;Rippenhebung (Inspiration);Nn. intercostales;Th1–Th4;Atemhilfsmuskel bei forcierter Einatmung;nein;;3;0;ja;M. serratus posterior superior;serratus-posterior-superior
Mm. iliocostales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;"Pars lumbalis: Sakrum und Crista iliaca; Pars thoracalis: 7.–12. Rippe";"Anguli costae Rippen 7–12 (Pars lumbalis); 1.–6. Rippe (Pars thoracalis); Procc. transversi C4–C6 (Pars cervicalis)";"Strecken den Rumpf; einseitig Seitneigung, zervikal zusätzlich Atemhilfe";Extension · Lateralflexion;Rr. dorsales der Spinalnerven;;Rückenschmerzen, muskuläre Dysbalance;nein;Autochthone Rückenmuskulatur — lateraler Trakt;2;0;ja;Mm. iliocostales;iliocostales
Mm. interspinales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Procc. spinosi (zervikal, thorakal, lumbal);Nächsthöhere Procc. spinosi;Die Mm. interspinales wirken als segmentale Extensoren: Durch die Annäherung benachbarter Dornfortsätze leisten sie einen feinen Beitrag zur Aufrichtung der Wirbelsäule und unterstützen dabei propriozeptiv die Gelenkstellung.;Extension;Rr. dorsales der Spinalnerven;;Segmentale Stabilisation;nein;Autochthone Rückenmuskulatur — medialer Trakt;3;0;ja;Mm. interspinales;interspinales
Mm. intertransversarii mediales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Procc. transversi (zervikal und lumbal);Nächsthöhere Procc. transversi;Bei einseitiger Aktivität neigen die Mm. intertransversarii mediales die Wirbelsäule zur ipsilateralen Seite. Werden sie beiderseits aktiviert, leisten sie einen ergänzenden Beitrag zur segmentalen Streckung.;Lateralflexion · Extension;Rr. dorsales der Spinalnerven;;Segmentale Stabilisation;nein;Autochthone Rückenmuskulatur — medialer Trakt;3;0;ja;Mm. intertransversarii mediales;intertransversarii-mediales
Mm. longissimi;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule · Kopf;Wirbelsäule;"M. longissimus thoracis: Procc. accessorii und Procc. transversi L1–L5; M. longissimus capitis/cervicis: Procc. transversi der thorakalen und zervikalen Wirbel";"Crista iliaca, Sakrum (lumbal); 1.–12. Rippe (thorakal); Proc. mastoideus (capitis)";"Die Mm. longissimi richten bei beidseitiger Aktivität die Wirbelsäule und den Kopf auf; bei einseitiger Kontraktion bewirken sie eine Lateralflexion und ipsilaterale Rotation. Die Kapitis-Anteile ermöglichen zusätzlich eine Reklination des Kopfes.";Extension · Lateralflexion · Rotation ipsilateral;Rr. dorsales der Spinalnerven;;Rückenschmerzen, muskuläre Dysbalance;nein;Autochthone Rückenmuskulatur — lateraler Trakt;2;0;ja;Mm. longissimi;longissimi
Mm. multifidi;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Os sacrum (S4) bis C2, Procc. transversi;Procc. spinosi 2–4 Wirbel höher;"Strecken und sichern die Wirbelsäule segmentnah; einseitig Rotation zur Gegenseite";Extension · Rotation kontralateral;Rr. dorsales der Spinalnerven;;Lumbal besonders kräftig, Atrophie bei chronischem LWS-Schmerz;nein;Autochthone Rückenmuskulatur — medialer Trakt;2;0;ja;Mm. multifidi;multifidi
Mm. rotatores;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Procc. transversi (zervikal, thorakal, lumbal);Procc. spinosi 1–2 Wirbel höher;Die Mm. rotatores drehen jeden Wirbel zur Gegenseite hin. Da sie nur wenige Segmente überspringen, ermöglichen sie eine präzise, segmentübergreifende Rotationsbewegung der Wirbelsäule.;Rotation kontralateral;Rr. dorsales der Spinalnerven;;Segmentale Rotation und Stabilisation;nein;Autochthone Rückenmuskulatur — medialer Trakt;3;0;ja;Mm. rotatores;rotatores
Mm. spinales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Procc. spinosi L3–Th10;Procc. spinosi Th8–Th2 (M. spinalis thoracis);"Die Mm. spinales sichern die natürlichen Wirbelsäulenkrümmungen. Bei beidseitiger Kontraktion richten sie die Wirbelsäule auf; wirken sie einseitig, kommt es zu einer Seitwärtsneigung in Richtung der aktiven Seite.";Extension · Lateralflexion;Rr. dorsales der Spinalnerven;;Sicherung der physiologischen Krümmungen;nein;Autochthone Rückenmuskulatur — medialer Trakt;2;0;ja;Mm. spinales;spinales
Mm. splenii;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule · Kopf;Wirbelsäule;"M. splenius capitis: Lig. nuchae, Procc. spinosi C7–Th3; M. splenius cervicis: Procc. spinosi Th3–Th6";"Proc. mastoideus, Linea nuchalis superior (capitis); Procc. transversi C1–C3 (cervicis)";Beidseitig kontrahiert streckt der M. splenius Kopf und Halswirbelsäule durch. Bei einseitiger Aktivität entsteht eine Kombination aus Seitwärtsneigung und Rotation zur gleichen Seite, womit er als Antagonist zu den kontralateralen Mm. rotatores wirkt.;Extension · Lateralflexion · Rotation ipsilateral;Rr. dorsales der Spinalnerven;;Nackenschmerzen, Zervikalsyndrom;nein;Autochthone Rückenmuskulatur — lateraler Trakt;2;0;ja;Mm. splenii;splenii
