Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. anconeus;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Epicondylus lateralis humeri und Lig. collaterale radiale;Proximaler Bereich der Facies posterior ulnae;Unterstützt die Ellenbogenextension und stabilisiert das Gelenk;Extension;N. radialis;C6, C7, C8;Unterstützt Ellenbogenextension;nein;;2;1;ja;M. anconeus;anconeus
M. articularis genus;;Untere Extremität;Knie;Art. genus;Kniegelenk;Corpus femoris (ventral);Kniegelenkkapsel (Recessus suprapatellaris);Spannt die Kniegelenkkapsel im Recessus suprapatellaris (verhindert Einklemmen bei Kniestreckung);Kapselspannung;N. femoralis;L3, L4;"Verhindert das Einklemmen des Recessus suprapatellaris bei aktiver Kniestreckung; klinisch kaum isoliert untersuchbar, aber bei rezidivierenden Kniebeschwerden relevant";nein;;3;0;ja;M. articularis genus;articularis-genus
M. biceps brachii;;Obere Extremität;Ellenbogen;Art. cubiti · Art. humeri;Schultergelenk · Ellenbogen;"Caput longum: Tuberculum supraglenoidale scapulae und Labrum glenoidale; Caput breve: Proc. coracoideus scapulae";"Tuberositas radii; Lacertus fibrosus / Fascia antebrachii";Schulter: Flexion, teils Abduktion oder Adduktion je nach Kopf. Ellenbogen: Flexion und Supination;Flexion · Supination;N. musculocutaneus;C5, C6, C7;Bizepssehnenruptur, LBS-Tendinitis;nein;;1;3;ja;M. biceps brachii;biceps-brachii
M. biceps femoris – Caput breve;;Untere Extremität;Knie;Art. genus;Kniegelenk;Linea aspera des Femur (mittlerer Teil);Caput fibulae;"Beugt das Knie (Flexion in der Art. genus); dreht den Unterschenkel bei gebeugtem Knie nach außen (Außenrotation)";Knieflexion · Knie-Außenrotation;N. peroneus communis;L5, S1, S2;"Klinisch selten isoliert betrachtet; gehört der ischiokruralen Gruppe an; bei N.-peroneus-communis-Läsion kann die Außenrotationsfähigkeit des Kniegelenks eingeschränkt sein";nein;Ischiocrurale Gruppe;2;1;ja;M. biceps femoris – Caput breve;biceps-femoris-caput-breve
M. biceps femoris – Caput longum;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Caput fibulae; Condylus lateralis tibiae";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Außenrotation des Unterschenkels";Hüftextension · Knieflexion · Knie-Außenrotation;N. tibialis;L5, S1, S2;"Ischiokrurale Zerrungen betreffen besonders die Ursprungsregion am Tuber ischiadicum; das Hamstring-Syndrom bezeichnet chronische Beschwerden durch narbige Veränderungen der Ischiokruralen";nein;Ischiocrurale Gruppe;1;1;ja;M. biceps femoris – Caput longum;biceps-femoris-caput-longum
M. brachialis;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Ventrale Seite des Humerus, distale Hälfte;Tuberositas ulnae, Gelenkkapsel des Ellenbogens;Stärkster Flexor im Ellenbogengelenk;Flexion;N. musculocutaneus;C5, C6, C7;Stärkster Ellenbogenbeuger;nein;;1;3;ja;M. brachialis;brachialis
M. brachioradialis;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Margo lateralis humeri;Radiale Fläche des Proc. styloideus radii;"Ellenbogenflexion; führt den Unterarm in Mittelstellung";Flexion · Pronation · Supination;N. radialis;C5, C6, C7;Radialisparese;nein;;1;2;ja;M. brachioradialis;brachioradialis
M. coccygeus;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;Spina ischiadica;Lateraler Rand des Os sacrum und Os coccygis (oberer Teil);"Der M. coccygeus hebt den Beckenboden an und zieht das Os coccygis nach ventral; damit sichert er die Lage der Beckeneingeweide und trägt zur Erhöhung des intraabdominalen Drucks bei, etwa beim Husten, Pressen oder Niesen.";Stützt Beckeneingeweide;Plexus sacralis;S4, S5;Beckenbodenschwäche, Inkontinenz;nein;Beckenboden;3;0;ja;M. coccygeus;coccygeus
M. coracobrachialis;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Proc. coracoideus der Scapula;Margo medialis humeri;Flexion und Adduktion im Schultergelenk;Flexion · Adduktion;N. musculocutaneus;C6, C7;N. musculocutaneus-Lähmung;nein;;1;2;ja;M. coracobrachialis;coracobrachialis
M. corrugator supercilii;;Kopf & Hals;Mimikmuskulatur;Stirn · Augenbraue;Mimik & Kopfmuskulatur;Medial unter der Augenbraue (Os frontale, Glabellabereich);Haut der medialen Augenbraue;"Der M. corrugator supercilii zieht die Augenbraue nach medial und inferior und erzeugt senkrechte Falten an der Glabella (Zornesfalte); er drückt Anspannung und Missbilligung aus und antagonisiert den M. frontalis.";Zieht Augenbraue medial und inferior · erzeugt vertikale Glabellafalten (Zornesfalte);N. facialis (VII);;"Zentrales Zielorgan bei Botulinum-Toxin-Behandlung von Zornesfalten (Glabellafalten); Überaktivität → tiefe vertikale Furchen.";nein;Mimische Muskulatur;2;0;ja;M. corrugator supercilii;corrugator-supercilii
M. deltoideus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;"Pars clavicularis: Extremitas acromialis der Clavicula; Pars acromialis: Akromion; Pars spinalis: Spina scapulae";Tuberositas deltoidea humeri;"Vor allem Abduktion; je nach Faserzug zusätzlich Flexion, Extension sowie Innen- oder Außenrotation";Abduktion · Flexion · Extension · Innenrotation · Außenrotation;N. axillaris;C5, C6;N. axillaris-Lähmung, Schulterluxation;nein;;1;3;ja;M. deltoideus;deltoideus
M. digastricus;;Kopf & Hals;Suprahyoidale Muskeln;Kiefergelenk · Zungenbein;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;"Venter anterior: Fossa digastrica (Innenseite der Mandibula); Venter posterior: Incisura mastoidea (Os temporale)";Corpus ossis hyoidei (über Zwischensehne);"Der M. digastricus wirkt mit seinen zwei Bäuchen in entgegengesetzten Situationen: Bei fixiertem Zungenbein öffnet er den Mund; bei fixierter Mandibula hebt er das Zungenbein an, was für den oralen und pharyngealen Schluckakt unerlässlich ist.";Zungenbeinanhebung · Mundöffnung;N. mylohyoideus (Vorderbauch, V3) / N. facialis (Hinterbauch, VII);;"Der M. digastricus ist logopädisch relevant bei Schluckstörungen; Lähmungen oder Verspannungen beeinträchtigen die Zungenbeinanhebung und damit die laryngeale Elevation beim Schlucken.";nein;Suprahyoidale Muskeln;1;0;ja;M. digastricus;digastricus
M. extensor carpi radialis brevis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Basis Os metacarpale III;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;1;ja;M. extensor carpi radialis brevis;extensor-carpi-radialis-brevis
M. extensor carpi radialis longus;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Margo lateralis humeri;Basis Os metacarpale II;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;2;ja;M. extensor carpi radialis longus;extensor-carpi-radialis-longus
M. extensor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Margo posterior ulnae;Basis Os metacarpale V;Dorsalextension und Ulnarabduktion im Handgelenk;Ulnarabduktion;N. radialis;C6, C7, C8;Epicondylitis lateralis;nein;;1;1;ja;M. extensor carpi ulnaris;extensor-carpi-ulnaris
M. extensor digiti minimi;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Epicondylus lateralis humeri;Dorsalaponeurose des kleinen Fingers;"Streckt den kleinen Finger; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · Extension des V. Fingers;N. radialis;C6, C7, C8;Eigenständige Extension des Kleinfingers;nein;;2;1;ja;M. extensor digiti minimi;extensor-digiti-minimi
M. extensor digitorum;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP · DIP;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Dorsalaponeurosen des II.–V. Fingers, Basen der Grundphalangen II–V;"Dorsalextension im Handgelenk; Streckung der Finger II-V";Dorsalextension · MCP-Extension · IP-Extension;N. radialis;C6, C7, C8;Strecksehnenruptur, Epicondylitis lateralis;nein;;1;1;ja;M. extensor digitorum;extensor-digitorum
M. extensor digitorum brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP und IP Zehen II–IV;Sprunggelenk & Fuß;Kalkaneus (dorsolateral) und Retinaculum extensorum inferius;Zeh II–IV, Dorsalaponeurosen;"Streckt die Zehen II–IV in MTP- und IP-Gelenken; unterstützt den langen Zehenstrecker bei der Fußhebung";Zeh II–IV: Extension und Lateralabduktion der MTP- und IP-Gelenke;N. peroneus profundus;;Eine deutliche Schwellung am Fußrücken kann fälschlicherweise für ein Ganglion gehalten werden, wenn der Muskelbauch des EDB besonders ausgeprägt ist;nein;;2;0;ja;M. extensor digitorum brevis;extensor-digitorum-brevis
M. extensor digitorum longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris · MTP und IP Zehen II–V;Sprunggelenk & Fuß;Condylus lateralis tibiae, Facies medialis fibulae und Membrana interossea;"Dorsalaponeurose der Zehen II–V; Os metatarsale V (dorsal)";"Dorsalextendiert den Fuß und proniert; streckt die Zehen II–V in den MTP- und IP-Gelenken; unterstützt das Anheben der Zehenspitzen beim Gehen";"Fuß: Dorsalextension · Pronation; Zehen II–V: Extension der MTP- und IP-Gelenke";N. peroneus profundus;;"Bei N.-peroneus-profundus-Parese fällt die Zehenstreckung gemeinsam mit der Fußhebung aus; vorderes Kompartmentsyndrom betrifft diesen Muskel ebenfalls";nein;;1;1;ja;M. extensor digitorum longus;extensor-digitorum-longus
M. extensor hallucis brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;Dorsalfläche des Kalkaneus (zusammen mit M. extensor digitorum brevis);Zeh I, proximale Phalanx;Streckt die Großzehe im Grundgelenk und unterstützt die lange Strecksehne;Zeh I: Extension des MTP-Gelenks;N. peroneus profundus;;"Teil der EDB-Gruppe; kann bei pathologischer Fußrückenschwellung klinisch prominent werden; sein Muskelbauch ist manchmal vergrößert und mit einem Tumor verwechselt worden";nein;;2;1;ja;M. extensor hallucis brevis;extensor-hallucis-brevis
M. extensor hallucis longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · MTP und IP Zeh I;Sprunggelenk & Fuß;Facies medialis fibulae (Mitte) und Membrana interossea;Zeh I, dorsale distale Phalanx (Basis);"Dorsalextendiert den Fuß; streckt die Großzehe in MTP- und IP-Gelenk; hebt das mediale Gewölbe bei der Fußhebung";"Fuß: Dorsalextension; Zeh I: Extension des MTP- und IP-Gelenks";N. peroneus profundus;;"Hallux-extensus-Deformität (Hyperextension Zehe I) kann nach N.-peroneus-profundus-Parese entstehen; Kompartmentsyndrom vordere Loge betrifft auch EHL";nein;;2;1;ja;M. extensor hallucis longus;extensor-hallucis-longus
M. extensor indicis;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Distaler Teil der Facies posterior ulnae und Membrana interossea;Dorsalaponeurose des Zeigefingers;"Streckt den Zeigefinger; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · Extension des Zeigefingers;N. radialis;C6, C7, C8;Eigenständige Extension des Zeigefingers;nein;;2;1;ja;M. extensor indicis;extensor-indicis
M. extensor pollicis brevis;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP;Hand;Facies posterior des Radius und Membrana interossea;Basis der Grundphalanx des Daumens;"Streckt den Daumen vor allem im Grundgelenk; unterstützt die Extension im Sattelgelenk";CMC-Extension · MCP-Extension;N. radialis;C6, C7, C8;Tendovaginitis de Quervain;nein;;2;1;ja;M. extensor pollicis brevis;extensor-pollicis-brevis
M. extensor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP · IP;Hand;Facies posterior ulnae und Membrana interossea;Basis der Endphalanx des Daumens;"Streckt den Daumen bis ins Endgelenk; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · CMC-Extension · MCP-Extension · IP-Extension;N. radialis;C6, C7, C8;Ruptur nach distaler Radiusfraktur;nein;;2;1;ja;M. extensor pollicis longus;extensor-pollicis-longus
M. fibularis brevis (M. peroneus brevis);;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;Facies lateralis fibulae (distal);Os metatarsale V (Tuberositas);"Plantarflektiert und proniert den Fuß; wichtig für die seitliche Fußstabilisierung";Fuß: Plantarflexion · Pronation;N. peroneus superficialis;;"Avulsionsfraktur an der Tuberositas ossis metatarsalis V entsteht typischerweise bei Supinationstrauma durch Zug der Peroneus-brevis-Sehne; Peronealsehnenruptur ebenfalls möglich";nein;;1;2;ja;M. fibularis brevis (M. peroneus brevis);fibularis-brevis-m-peroneus-brevis
M. fibularis longus (M. peroneus longus);;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;Condylus lateralis tibiae, Caput fibulae und Facies lateralis fibulae (proximal);Os cuneiforme I und Os metatarsale I (Tuberositas, plantar);"Plantarflektiert und proniert den Fuß; verspannt das Quergewölbe durch seinen diagonalen Verlauf auf der Fußsohle";Fuß: Plantarflexion · Pronation;N. peroneus superficialis;;"Peronealsehnenruptur und -luxation entstehen oft durch Supinationstrauma; am lateralen Fuß kann die Sehne hinter dem Außenknöchel aus ihrem Kanal springen (Luxation)";nein;;1;2;ja;M. fibularis longus (M. peroneus longus);fibularis-longus-m-peroneus-longus
M. flexor carpi radialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri;Basis Os metacarpale II (manchmal auch III);Palmarflexion und Radialabduktion im Handgelenk;Palmarflexion · Radialabduktion · Pronation;N. medianus;C6, C7, C8;Karpaltunnelsyndrom, Epicondylitis medialis;nein;;1;2;ja;M. flexor carpi radialis;flexor-carpi-radialis
M. flexor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri, medialer Olekranon und Margo posterior ulnae;Os pisiforme, Hamulus ossis hamati, Basis Os metacarpale V;Palmarflexion und Ulnarabduktion im Handgelenk;Palmarflexion · Ulnarabduktion;N. ulnaris;C7, C8, Th1;Ulnarisrinnensyndrom;nein;;1;1;ja;M. flexor carpi ulnaris;flexor-carpi-ulnaris
M. flexor digiti minimi brevis;;Obere Extremität;Hand & Finger;MCP;Hand;Hamulus ossis hamati und Retinaculum flexorum;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;Flexion im MCP-Gelenk des kleinen Fingers;MCP-Flexion · Abduktion;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. flexor digiti minimi brevis#manus;flexor-digiti-minimi-brevis-upper-hand-mcp-flexion
M. flexor digiti minimi brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh V;Sprunggelenk & Fuß;Os metatarsale V (Basis) und Lig. plantare longum;Zeh V, Basis der proximalen Phalanx (plantar);"Beugt die Kleinzehe im MTP-Gelenk V; unterstützt die Stabilisierung des lateralen Fußrandes";Zeh V: Flexion des MTP-Gelenks;N. tibialis (N. plantaris lateralis);;"Bei Kleinzehenschmerzen und Spreizfuß kann dieser Muskel durch Druck des Schuhwerks gereizt sein; selten isoliert klinisch beurteilbar";nein;;2;1;ja;M. flexor digiti minimi brevis;flexor-digiti-minimi-brevis-lower-fuss-zeh-v-flexion-des-mtp-gelenks
M. flexor digitorum brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP und proximale IP Zehen II–V;Sprunggelenk & Fuß;Kalkaneus (Proc. medialis am Tuber) und Aponeurosis plantaris;Zehen II–V, plantare mittlere Phalangen;"Beugt die Zehen II–V in MTP- und proximalen IP-Gelenken; unterstützt das Greifen und Abrollen des Fußes beim Gehen";Zeh II–V: Flexion der MTP- und proximalen IP-Gelenke;N. tibialis (N. plantaris medialis);;"Bei Plantarfasziitis ist der Ansatz am Kalkaneus (Proc. medialis) entzündet; Hammerzehen entstehen u.a. durch Imbalalanc zwischen FDB und den langen Zehenmuskeln";nein;;1;1;ja;M. flexor digitorum brevis;flexor-digitorum-brevis
M. flexor digitorum longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris · MTP und IP Zehen II–V;Sprunggelenk & Fuß;Facies posterior tibiae (Mitte);Zehen II–V, distale Phalanx (Basis);"Plantarflektiert den Fuß und supiniert; beugt die Zehen II–V in MTP-, PIP- und DIP-Gelenken; beim Gehen unterstützt er das Abstoßen und das Greifen der Zehenspitzen";"Fuß: Plantarflexion · Supination; Zehen II–V: Flexion der MTP- und IP-Gelenke";N. tibialis;;"Tarsaltunnelsyndrom kann Druck auf die FDL-Sehne ausüben; chronische Überlastung führt zu Krallenzehen durch Dauerkontraktur der tiefen Zehenbeuger";nein;;2;2;ja;M. flexor digitorum longus;flexor-digitorum-longus
M. flexor digitorum profundus;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Facies anterior und medialis ulnae und Membrana interossea;Basis der distalen Fingerphalangen II–V;"Palmarflexion im Handgelenk; Flexion der Finger II-V bis in die Endgelenke";Palmarflexion · MCP-Flexion · PIP-Flexion · DIP-Flexion;N. medianus (II, III), N. ulnaris (IV, V);C7, C8, Th1;DIP-Flexion nur durch FDP möglich, Jerseyfingerruptur;nein;;2;1;ja;M. flexor digitorum profundus;flexor-digitorum-profundus
M. flexor digitorum superficialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP;Ellenbogen · Hand;Epicondylus medialis humeri, Facies medialis ulnae, proximaler Margo anterior radii;Mittelphalangen des II.–V. Fingers;"Palmarflexion im Handgelenk; Flexion in MCP- und PIP-Gelenken der Finger II-V";Palmarflexion · MCP-Flexion · PIP-Flexion;N. medianus;C7, C8, Th1;Karpaltunnelsyndrom, Schnappfinger;nein;;2;1;ja;M. flexor digitorum superficialis;flexor-digitorum-superficialis
M. flexor hallucis brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;Ossa cuneiformia II et III und Os cuboideum;"Mediale und laterale Basis der proximalen Phalanx des I. Zehs; Mediales und laterales Sesambein";"Beugt die Großzehe im MTP-Gelenk; unterstützt Abduktion und Adduktion; hält die Sesambeine in ihrer Gleitrinne unter dem ersten Metatarsalkopf";Zeh I: Flexion · Abduktion und Adduktion des MTP-Gelenks;N. tibialis (N. plantaris medialis und lateralis);;"Bei Hallux valgus entgleist das Sesambein aus seiner Führungsrinne; Sesambeinf rakturen entstehen durch direkte Belastung oder Ermüdung";nein;;2;1;ja;M. flexor hallucis brevis;flexor-hallucis-brevis
M. flexor hallucis longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris · MTP und IP Zeh I;Sprunggelenk & Fuß;Facies posterior fibulae (distal);Zeh I, plantare distale Phalanx (Basis);"Plantarflektiert den Fuß und supiniert; beugt die Großzehe in MTP- und IP-Gelenk; wichtig beim Abstoßen in der Gangabwicklung";"Fuß: Plantarflexion · Supination; Zeh I: Flexion des MTP- und IP-Gelenks";N. tibialis;;"Hallux-flexus-Deformität durch Verkürzung; Tarsaltunnelsyndrom kann FHL-Sehne betreffen; bei Ballett-Tänzerinnen typische Überlastungstendinitis hinter dem Innenknöchel";nein;;2;2;ja;M. flexor hallucis longus;flexor-hallucis-longus
M. flexor pollicis brevis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;"Caput superficiale: Tuberculum ossis trapezii und Retinaculum flexorum; Caput profundum: Os trapezoideum, Os capitatum, Ligg. metacarpalia palmaria";Basis der Daumengrundphalanx, radiales Sesambein;Beugt den Daumen und hilft bei Gegenüberstellung und Heranführung;CMC-Flexion · Adduktion · Opposition · MCP-Flexion;N. medianus, N. ulnaris;C8, Th1;Medianusparese (Caput superficiale), Ulnarisparese (Caput profundum);nein;Daumenballen (Thenar);2;2;ja;M. flexor pollicis brevis;flexor-pollicis-brevis
M. flexor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP · IP;Hand;Epicondylus medialis humeri, ventrale Seite des Radius und Membrana interossea;Basis der Endphalanx des Daumens;"Beugt den Daumen; unterstützt die Palmarflexion im Handgelenk";Palmarflexion · Daumenflexion;N. medianus;C6, C7, C8;Karpaltunnelsyndrom;nein;;2;1;ja;M. flexor pollicis longus;flexor-pollicis-longus
